schema_version,suite,scope,benchmark_id,group,benchmark,baseline_benchmark,coverage_status,coverage_note,baseline_median_ns,baseline_ci_lower_ns,baseline_ci_upper_ns,current_median_ns,current_ci_lower_ns,current_ci_upper_ns,baseline_nalgebra_median_ns,baseline_nalgebra_ci_lower_ns,baseline_nalgebra_ci_upper_ns,baseline_faer_median_ns,baseline_faer_ci_lower_ns,baseline_faer_ci_upper_ns
1,vs_linalg,release-signal,d16/la_stack_ldlt,d16,la_stack_ldlt,la_stack_ldlt,comparable,,383.39640085370581,382.42033372138144,383.92751159648333,403.795192343709,403.4035573047982,404.47298172993465,396.99672650578373,396.61820885279656,397.59528956498531,428.15073922457987,426.13695561157681,430.76722723721201
1,vs_linalg,release-signal,d16/la_stack_ldlt_solve,d16,la_stack_ldlt_solve,la_stack_ldlt_solve,comparable,,425.37468019119581,424.94756970145573,425.8154739209009,447.59429870422946,446.33635357254593,448.10668388068535,607.43266898892762,606.59620959156018,608.84317513755673,626.0651040751543,624.88839840128867,627.14058323532561
1,vs_linalg,release-signal,d16/la_stack_lu,d16,la_stack_lu,la_stack_lu,comparable,,393.77315426110658,392.78551372414188,394.9719213798636,395.56550265131182,394.39822642691001,397.09790485192184,453.80245729277374,452.93815178884068,454.14459179327349,641.77348233772523,639.35413044287407,645.66004020945923
1,vs_linalg,release-signal,d16/la_stack_lu_solve,d16,la_stack_lu_solve,la_stack_lu_solve,comparable,,640.81753364968517,639.38963319785239,641.45248773025196,643.53200219388043,641.46681893534719,644.90281289407312,569.44587125571024,568.90984848484845,569.90600109433876,903.14005339898199,900.30683971201211,905.29873345349529
1,vs_linalg,release-signal,d16/la_stack_norm2_sq,d16,la_stack_norm2_sq,la_stack_norm2_sq,comparable,,2.0630009315813131,2.0585849830533745,2.0654378654830685,2.0639409227602474,2.0589625074537787,2.0688900357838289,1.4771868874299177,1.4761062369740032,1.4780276761745883,4.0614189101656706,4.0578672072064634,4.0633610625063241
1,vs_linalg,release-signal,d16/la_stack_solve_from_ldlt,d16,la_stack_solve_from_ldlt,la_stack_solve_from_ldlt,comparable,,27.749733517289869,27.716402195047927,27.791723998444603,27.715558726917436,27.697078439756556,27.727102224379838,116.06720734784034,115.68642951109564,116.22006269896731,181.70095034620658,181.44538356380463,182.20675387148222
1,vs_linalg,release-signal,d16/la_stack_solve_from_lu,d16,la_stack_solve_from_lu,la_stack_solve_from_lu,comparable,,187.96262283493763,187.58889885483666,188.61136663524977,188.77251827626009,188.33652062599413,189.38605435288875,92.249347718694992,92.111293320933214,92.349650269397728,258.75075528378977,255.7202506995387,262.49754720310568
1,vs_linalg,release-signal,d2/la_stack_det,d2,la_stack_det,la_stack_det,comparable,,0.57392739152992112,0.57371985158868033,0.5740274980375597,0.57414829406867218,0.57401404317957327,0.57433630871032315,,,,,,
1,vs_linalg,release-signal,d2/la_stack_det_from_ldlt,d2,la_stack_det_from_ldlt,la_stack_det_from_ldlt,comparable,,0.49605866835964646,0.49596753848167108,0.49618662196432084,0.49616588060011557,0.4960249936577053,0.49627378935091071,0.43621764800254126,0.43495731463247422,0.43706837309646013,0.54850477620066351,0.54770269780089442,0.55044496344874783
1,vs_linalg,release-signal,d2/la_stack_det_from_lu,d2,la_stack_det_from_lu,la_stack_det_from_lu,comparable,,0.52093248021331351,0.52037403985539621,0.52462094123531511,0.52042957376516219,0.52036642201000127,0.52051977655544635,0.44852288390755124,0.4483276192218324,0.44907305991161456,0.74324662394908336,0.74318456904907815,0.74342276889246706
1,vs_linalg,release-signal,d2/la_stack_det_via_lu,d2,la_stack_det_via_lu,la_stack_det_via_lu,comparable,,1.7679449006571393,1.7671939097260814,1.7688273448767438,1.7737368324374865,1.7713974906331558,1.7775340107838542,0.82457530187660444,0.82209533468955243,0.82656166060626657,131.68361099747773,131.10937944410747,132.03241713110734
1,vs_linalg,release-signal,d2/la_stack_dot,d2,la_stack_dot,la_stack_dot,comparable,,0.61352760044398202,0.61276543774328207,0.61402707088077435,0.61251214878747562,0.61121777769114505,0.61313524788753404,0.56064257789982586,0.56017946329290891,0.56097182708131266,2.5021469296259262,2.4890871213058778,2.6830380933221991
1,vs_linalg,release-signal,d2/la_stack_inf_norm,d2,la_stack_inf_norm,la_stack_inf_norm,comparable,,0.62287066143716074,0.62252140559815905,0.62322622860202548,0.62282252492893175,0.62250789635979775,0.62326953215304082,0.49827173555514842,0.49814894563945694,0.49836580472015024,0.67215306236778116,0.67177684015805494,0.67268671440604155
1,vs_linalg,release-signal,d2/la_stack_ldlt,d2,la_stack_ldlt,la_stack_ldlt,comparable,,6.4679174044891763,6.4630566559028733,6.4750959096428309,6.6346326699278517,6.6112283224827619,6.649096105104241,1.703673051936607,1.7021045904007399,1.7063749118829425,97.973415045822435,97.646445326555181,98.355253986804115
1,vs_linalg,release-signal,d2/la_stack_ldlt_solve,d2,la_stack_ldlt_solve,la_stack_ldlt_solve,comparable,,9.3267282424810158,9.3156591275904717,9.3335921061528513,9.4342065671166218,9.4176318822760976,9.4644835930358866,2.5197203598411502,2.516149021065984,2.5265791815742578,145.85553820310949,143.47317705398399,147.26974942140896
1,vs_linalg,release-signal,d2/la_stack_lu,d2,la_stack_lu,la_stack_lu,comparable,,1.5601441095260733,1.5581005650018285,1.5620621774871468,1.5550328069395349,1.5541639439771986,1.5557607183929154,1.6088793413144622,1.6055014356953712,1.6118402294784371,120.85079986178687,120.03323306309831,121.7131579520799
1,vs_linalg,release-signal,d2/la_stack_lu_solve,d2,la_stack_lu_solve,la_stack_lu_solve,comparable,,2.0314092974806748,2.0302198287717603,2.0345467303122184,2.0211314276372025,2.0184799422811559,2.0445438481191816,4.4787720282632115,4.4712237316812988,4.4889033406839456,182.53202843068811,182.06757130922546,183.01508533237856
1,vs_linalg,release-signal,d2/la_stack_norm2_sq,d2,la_stack_norm2_sq,la_stack_norm2_sq,comparable,,0.39504092052906009,0.39487957979719801,0.39537735031681998,0.39496812928467495,0.39436059686825969,0.39517097974099941,0.38868026110683163,0.38822521649033631,0.38906554841001673,4.0552777729831924,4.0527518915090699,4.0584808377522643
1,vs_linalg,release-signal,d2/la_stack_solve_from_ldlt,d2,la_stack_solve_from_ldlt,la_stack_solve_from_ldlt,comparable,,1.2190136869369586,1.2025643334946778,1.2355617067423554,1.2384772206664705,1.2373876587522723,1.2387014979624249,1.2368166338341426,1.2348758039826044,1.2413110353601422,43.964540343301408,43.734783115314087,44.192072676585951
1,vs_linalg,release-signal,d2/la_stack_solve_from_lu,d2,la_stack_solve_from_lu,la_stack_solve_from_lu,comparable,,1.2453167718999847,1.2426647173570333,1.2489582164418285,1.2447139930689859,1.2424024222304724,1.2477969796655017,2.8650984215665636,2.8624578315899427,2.8727196959612029,54.804211447567418,54.612902758502798,54.870250629434651
1,vs_linalg,release-signal,d3/la_stack_det,d3,la_stack_det,la_stack_det,comparable,,1.3248260462690267,1.3241936110286718,1.325669453672313,1.3219835208630162,1.3187665729784837,1.3242570292917186,,,,,,
