phase,benchmark_id,sample_count,mean_ns,mean_ci_lower_ns,mean_ci_upper_ns,median_ns,median_ci_lower_ns,median_ci_upper_ns,confidence_level
baseline,d2/faer_norm2_sq,100,4.078357182523085,4.066264965606266,4.0917278262492465,4.055277772983192,4.05275189150907,4.058480837752264,0.95
baseline,d2/faer_norm_l2,100,5.5188819902436,5.445615702767088,5.593095602342489,5.514531735831568,5.420923716733103,5.605929420320704,0.95
baseline,d2/faer_solve_from_ldlt,100,44.64384346207491,44.25398776517769,45.07553900591245,43.96454034330141,43.73478311531409,44.19207267658595,0.95
baseline,d2/faer_solve_from_lu,100,54.87304780188503,54.68903972828382,55.0663329292458,54.80421144756742,54.6129027585028,54.87025062943465,0.95
baseline,d2/iterative_f64_hypot,100,2.3478798872512643,2.307976083649161,2.388796804328237,2.202377908964832,2.1973158796415926,2.272463099182789,0.95
baseline,d2/la_stack_det,100,0.5739596127967669,0.5736074230698368,0.5745036831637719,0.5739273915299211,0.5737198515886803,0.5740274980375597,0.95
baseline,d2/la_stack_det_from_ldlt,100,0.5020025603206307,0.49937782772454087,0.504921388994688,0.49605866835964646,0.4959675384816711,0.49618662196432084,0.95
baseline,d2/la_stack_det_from_lu,100,0.5228116651658896,0.5221912462607772,0.5234465294650839,0.5209324802133135,0.5203740398553962,0.5246209412353151,0.95
baseline,d2/la_stack_det_via_lu,100,1.7628343270443692,1.7583214879187987,1.7670943945123272,1.7679449006571393,1.7671939097260814,1.7688273448767438,0.95
baseline,d2/la_stack_dot,100,0.6136417903504011,0.611700744457083,0.6156333174820264,0.613527600443982,0.6127654377432821,0.6140270708807744,0.95
baseline,d2/la_stack_inf_norm,100,0.6243546005549312,0.6233269925545921,0.6256483684217803,0.6228706614371607,0.622521405598159,0.6232262286020255,0.95
baseline,d2/la_stack_ldlt,100,6.4722799187981535,6.45815735926964,6.490917606656688,6.467917404489176,6.463056655902873,6.475095909642831,0.95
baseline,d2/la_stack_ldlt_solve,100,9.392475780164661,9.345347048813851,9.452587085862648,9.326728242481016,9.315659127590472,9.333592106152851,0.95
baseline,d2/la_stack_lu,100,1.5566833406843132,1.5536860294782795,1.5595728992601898,1.5601441095260733,1.5581005650018285,1.5620621774871468,0.95
baseline,d2/la_stack_lu_solve,100,2.062327389146348,2.051268454956453,2.074073567834016,2.031409297480675,2.0302198287717603,2.0345467303122184,0.95
baseline,d2/la_stack_norm2_sq,100,0.395829779206593,0.39481124001002516,0.3969768329240359,0.3950409205290601,0.394879579797198,0.39537735031682,0.95
baseline,d2/la_stack_solve_from_ldlt,100,1.2060303284448306,1.1961338728385824,1.2155458527589178,1.2190136869369586,1.2025643334946778,1.2355617067423554,0.95
baseline,d2/la_stack_solve_from_lu,100,1.250905606602393,1.2479515409302138,1.2541526597343897,1.2453167718999847,1.2426647173570333,1.2489582164418285,0.95
baseline,d2/nalgebra_cholesky,100,1.7035858575970346,1.7011538484197526,1.706201679636906,1.703673051936607,1.70210459040074,1.7063749118829425,0.95
baseline,d2/nalgebra_cholesky_solve,100,2.5317739244974353,2.52184930139083,2.5436735318433974,2.51972035984115,2.516149021065984,2.5265791815742578,0.95
baseline,d2/nalgebra_det_from_cholesky,100,0.435623958697735,0.43478681151400805,0.43646590328291107,0.43621764800254126,0.4349573146324742,0.4370683730964601,0.95
baseline,d2/nalgebra_det_from_lu,100,0.4506568036364796,0.44952328836133615,0.45194911290264783,0.44852288390755124,0.4483276192218324,0.44907305991161456,0.95
baseline,d2/nalgebra_det_via_lu,100,0.8268624445031371,0.8246315112324291,0.8294120436446354,0.8245753018766044,0.8220953346895524,0.8265616606062666,0.95
baseline,d2/nalgebra_dot,100,0.5602218960215589,0.5595616219846061,0.5609469824723579,0.5606425778998259,0.5601794632929089,0.5609718270813127,0.95
baseline,d2/nalgebra_inf_norm,100,0.4996628249238132,0.49886992975693517,0.5005690941213791,0.4982717355551484,0.49814894563945694,0.49836580472015024,0.95
baseline,d2/nalgebra_lu,100,1.6082102428309863,1.6058316694136174,1.6106093952092202,1.6088793413144622,1.6055014356953712,1.611840229478437,0.95
baseline,d2/nalgebra_lu_solve,100,4.495822969818482,4.479176778689656,4.515032369754365,4.4787720282632115,4.471223731681299,4.488903340683946,0.95
baseline,d2/nalgebra_norm,100,0.49486653513797374,0.49411007269069296,0.4956445491033438,0.49481495575971174,0.49414234424631676,0.49543795461417867,0.95
baseline,d2/nalgebra_norm_squared,100,0.3882181365541804,0.38776522677495784,0.3887111703135428,0.3886802611068316,0.3882252164903363,0.3890655484100167,0.95
baseline,d2/nalgebra_solve_from_cholesky,100,1.244308239662325,1.239492252600095,1.249786577533368,1.2368166338341426,1.2348758039826044,1.2413110353601422,0.95
baseline,d2/nalgebra_solve_from_lu,100,2.867630268419893,2.8636855905539482,2.87181782328281,2.8650984215665636,2.8624578315899427,2.872719695961203,0.95
baseline,d3/delaunay_scaled_norm,100,1.750161109180815,1.7473977048702352,1.7530577585208795,1.752699757206758,1.7493297149824178,1.7550120867055317,0.95
